name,phone,website,email,contact_url,area,rating,reviews,category,lang,focus,model,score,notes,consent_basis,status,last_touch
Capital Services,+1613-599-4392,https://capitalservices.ca/,info@capitalservices.ca,https://www.capitalservices.ca/request-form,Ottawa,4.4,626,Snow removal service,EN,residential,both,A,"Family-owned, 21+ winters in Kanata & Stittsville; seasonal contracts AND 1x on-demand removal.",published business contact,new,
Déneigement Techni-Snow,+1819-682-8868,https://www.techni-snow.ca/,reception@techni-snow.ca,https://www.techni-snow.ca/nous-joindre/,Gatineau,3.2,360,Snow removal service,EN/FR,both,both,A,"20+ years; 60+ GPS-equipped snow blowers; Hull, Aylmer, Chelsea; 24/7.",published business contact,new,
Déneigement St-Pierre,+1819-213-1656,https://deneigementst-pierre.ca/,info@DeneigementSt-Pierre.ca,https://deneigementst-pierre.ca/contact/,District Bellevue,3.8,264,Snow removal service,FR,residential,both,A,"Since 2010, residential-only; GPS scheduling with real-time client notifications.",published business contact,new,
TerrEntretien - Paysagement et Déneigement,+1819-230-6146,http://www.terrentretien.ca/,info@terrentretien.ca,https://www.terrentretien.ca/contact/,Rivière-Blanche District,4.6,153,Landscaper,FR,both,both,A,Gatineau; Consumer Choice Award four years running.,published business contact,new,
Sam's Lawn & Snow Services - Ottawa Lawn Care | Snow Removal | Pressure Washing | Auto Services & More!,+1343-996-5523,https://samservices.online/,info@samservices.online,https://samservices.online/,Hunt Club East - Western Community,5,107,Lawn care service,EN,residential,per-visit,A,"Student-run, battery/electric equipment; snow is on-demand only, flat $60 single / $80 double driveway.",published business contact,new,
Paysagement Déneigement Gagné,+1819-271-6999,https://paysagementgagne.ca/,rick-gagne@hotmail.com,https://paysagementgagne.ca/contact/,Rivière-Blanche District,4.3,72,Landscaper,FR,both,per-visit,A,"Established 2010, serves the Outaouais region; tractors with snow blowers plus truck-mounted equipment.",published business contact,new,
Déneigement Bouffard,+1343-202-5159,http://deneigementbouffard.com/,Deneigementbouffard@gmail.com,,,3.5,84,Snow removal service,FR,both,both,A,Over 10 years specializing in snow removal; phone/email only.,published business contact,new,
Boisvert Paysagement et Déneigement,+1819-525-6434,https://www.boisvert.co/,info@boisvert.co,https://www.boisvert.co/estimation,,4.9,53,Snow removal service,FR,residential,both,A,"Family-owned; serves five Gatineau neighbourhoods incl. Limbour, Riviera.",published business contact,new,
DÉNEIGEMENT HABITERRA,+1819-592-3355,http://gohabiterra.com/,deneigement@habiterra.info,http://gohabiterra.com/contact-fra,Gatineau,4,42,Snow removal service,EN/FR,both,both,A,Tractors with Teflon anti-scratch blades; bilingual site.,published business contact,new,
"Kodiak Snow Blowing & Lawncare, Inc",+1613-591-6078,https://kodiaksnow.ca/,info@kodiaksnow.ca,https://kodiaksnow.ca/driveway-form/?rd_page=contact-us,Stittsville,4.7,675,Snow removal service,EN,residential,seasonal-contract,B,"Kanata & Stittsville; real-time GPS tracking on vehicles; Nov 1 to Apr 1, 2 cleanings per snow day.",published business contact,new,
Barrhaven Landscaping & Snow Removal Inc.,+1613-799-0300,http://barrhavens.com/,info@barrhavens.com,https://www.barrhavens.com/contact,Gloucester,4.7,519,Snow removal service,EN,residential,unknown,B,"Barrhaven based; year-round landscaping, stone, deck work.",published business contact,new,
Augusta Lawn Care of Nepean | Landscaping | Snow Removal,+1613-627-2588,https://www.augustalawncareservices.com/nepean,nepean@augustalawncareservices.com,https://www.augustalawncareservices.com/nepean#contact-us,Nepean,4.6,170,Lawn care service,EN,both,unknown,B,"Franchise location (Augusta, 200+ locations); snow via augustasnowremoval.com.",published business contact,new,
Pro 4 Saisons,+1819-665-9459,http://www.pro4saisons.com/,,https://pro4saisons.com/contact/,L'Ange-Gardien,4.3,118,Snow removal service,FR,both,unknown,B,"15 years in the Outaouais; Gatineau, Buckingham, Masson-Angers, L'Ange-Gardien.",published business contact,new,
LONGO’S Lawn and Snow Maintenance,+1343-204-9505,https://longoslawnandsnowmaintenance.com/,longoslawnandsnow@outlook.com,https://longoslawnandsnowmaintenance.com/,,4.9,101,Snow removal service,EN,residential,unknown,B,"Family-owned; Hunt Club East, Greenboro, Blossom Park, South Keys; Kubota tractors.",published business contact,new,
Sky High Enterprises Ltd. - Snow Removal,+1613-867-7569,http://skyhighsnow.com/,info@skyhighsnow.com,http://skyhighsnow.com/#REQUEST,Orléans,4,103,Snow removal service,EN,both,unknown,B,Ottawa + surrounding; packages up to 6-car driveways and commercial lots; salting.,published business contact,new,
Exterior Solutions,+1613-852-5001,http://extsol.ca/,,http://extsol.ca/registration,Carlingwood West - Glabar Park - McKellar Heights,5,38,Snow removal service,EN,residential,seasonal-contract,B,Ottawa west end 15+ years; season registration for residential laneways.,published business contact,new,
Designer snow removal inc,+1613-864-7669,,,,,4.7,36,Snow removal service,,,,B,,published business contact,new,
Take It Easy Snow Removal,+1613-796-8604,https://takeiteasysnow.com/,,https://takeiteasysnow.com/,,4.4,37,Snow removal service,EN,both,both,B,"24/7 dispatch; Orleans, Cumberland, Rockland; estimate form on homepage.",published business contact,new,
Blizzard Pro Property Solutions,+1613-861-7669,http://www.blizzardpro.ca/,support@blizzardpro.ca,https://blizzardpro.ca/contact,Nepean,4.4,31,Snow removal service,EN,both,seasonal-contract,B,Snow + lawn divisions; seasonal and unlimited plans.,published business contact,new,
ASJ Landscaping & Snow Removal,+1613-777-0043,http://www.asjsnow.com/,info@asjsnow.com,,Ottawa,4.8,26,Landscape designer,EN,both,seasonal-contract,B,"24-hour dispatch, fully insured; commercial and residential contracts.",published business contact,new,
Deneigement Blanchette and Property Maintenance,+1613-446-0004,https://rocklandsnowremoval.ca/,,,,4.7,26,Snow removal service,,,,B,,published business contact,new,
Entreprise KDM déneigement,+1819-921-7555,,,,District du Lac-Beauchamp,5,23,Snow removal service,,,,B,,published business contact,new,
Evo Snow and Lawn Ottawa,+1613-858-5115,http://evosnowandlawn.ca/,,,,4.6,20,Snow removal service,,,,B,,published business contact,new,
Frosty's Lawn & Snow Removal,+1613-981-6677,https://www.frostyssnowremoval.com/,,,,5,13,Snow removal service,,,,B,,published business contact,new,
Aylmer Snow Removal,+1819-775-5677,https://www.aylmersnowremoval.com/,,,Gatineau,4.5,8,Snow removal service,,,,B,,published business contact,new,
MS Déneigement Paysagement,+1819-918-1266,https://msdeneigement.com/,,,District de Limbour,5,7,Snow removal service,,,,B,,published business contact,new,
Paysagement AM - Masson Déneigement,+1819-930-4014,https://www.paysagementam.ca/,,,Cantley,3.8,9,Landscaper,,,,B,,published business contact,new,
Scellant Déneigement XTRA,+1819-852-7677,https://scellantdeneigementxtra.com/,,,Val-des-Monts,3,8,Asphalt contractor,,,,B,,published business contact,new,
Ottawa Grass & Snow Masters Ltd,+1613-282-5586,http://www.ogsmturf.com/,,,Carlingwood West - Glabar Park - McKellar Heights,4,4,Snow removal service,,,,B,,published business contact,new,
Stittsville Snow Removals,+1613-879-0012,https://www.stittsnow.ca/,,,Carp,5,3,Snow removal service,,,,B,,published business contact,new,
Excavation et Déneigement D&B,+1819-664-0173,https://www.facebook.com/profile.php?id=100064317596852,,,Val-des-Monts,5,3,Snow removal service,,,,B,,published business contact,new,
Kodiak Snow Removal,+1613-912-7669,https://kodiaksnowremoval.ca/contact-us/,,,Stittsville,3.7,3,Snow removal service,,,,B,,published business contact,new,
Denali lawncare & snow removal,+1613-854-0001,http://www.denalisnow.com/,,,Kanata,3.7,3,Lawn care service,,,,B,,published business contact,new,
Manotick Snow Removal,+1613-883-7780,https://manoticksnowremoval1.odoo.com/,,,,5,2,Snow removal service,,,,B,,published business contact,new,
Brown Keith & Associates,+1613-738-0777,,,,Rockcliffe - Manor Park,5,2,Snow removal service,,,,B,,published business contact,new,
Gestion Déneigement Sylvain Proulx,+1819-525-7900,,,,Touraine District,5,2,Snow removal service,,,,B,,published business contact,new,
Apple Snow Removal - Stittsville / Kanata Snow Removal,+1613-709-5544,https://applesnow.ca/,,,Ottawa,5,1,Snow removal service,,,,B,,published business contact,new,
Leeside Snowblowing,+1613-425-3425,https://leeside.ca/,,,Gloucester,5,1,Snow removal service,,,,B,,published business contact,new,
Nicash Maintenance Services,+1613-574-0410,,,,Orléans,5,1,Snow removal service,,,,B,,published business contact,new,
Déneigement SABY,+1819-661-0594,https://www.deneigementsaby.com/contacteznous/,,,Hull,5,1,Contractor,,,,B,,published business contact,new,
DÉNEIGEMENT GATINEAU,+1819-639-6827,http://www.mcmaintenance.ca/,,,Hull,5,1,Property maintenance,,,,B,,published business contact,new,
SKC Snow Removal and Small Excavation,+1873-354-1245,https://skcsnowremovalandsmallexcavation.com/,,,Aylmer,,,Snow removal service,,,,B,,published business contact,new,
Tecnisnow,,https://www.techni-snow.ca/en/,,,Gatineau,,,Snow removal service,,,,B,,published business contact,new,
Adam Kittle Snow Removal,+1613-831-4246,http://www.adamkittle.ca/,,,Carp,4.8,75,Snow removal service,EN,unknown,unknown,C,site unreachable,published business contact,new,
Metro Snow & Ice Removal,+1613-221-5151,http://metrosnowandice.ca/,info@metrosnowandice.ca,https://metrosnowandice.ca/contact/,Nepean,1.7,195,Snow removal service,EN,both,both,C,"Owner 25+ years, past Chairman of Ottawa Snow Contractors Association; 'No Payment until November' contracts.",published business contact,new,
Snowbusters Snowblowing Inc,+1613-729-7669,http://www.snowbustersottawa.com/,info@Snowbusterswendover.com,https://www.snowbustersottawa.com/contact-us,Carlington,1.9,111,Snow removal service,EN,both,unknown,C,"15+ years, GPS-enabled tractors; Wendover/Rockland, expanding east.",published business contact,new,
Sunshine Snow Service Inc,+1613-747-0042,https://sunshinesnow.ca/,commercial@sunshinesnow.ca,https://sunshinesnow.ca/contact-us-2/,Industrial Park,4.2,43,Snow removal service,EN,commercial,seasonal-contract,C,"30+ years commercial; account reps, multi-location.",published business contact,new,
Precision Snow Removal,+1613-721-6337,http://precisiongroup.ca/,info@precisiongroup.ca,http://precisiongroup.ca/contact-us.html,,1.9,94,Snow removal service,EN,both,both,C,"Urban Ottawa with bobcats; emergency, vacation, one-time options.",published business contact,new,
Kanata Snow Removal and Lawncare,+1613-908-9222,https://www.kanatalawncare.ca/,,,Carp - Hardwood Plains,4.8,28,Lawn care service,EN,unknown,unknown,C,site unreachable,published business contact,new,
Déneigement Mirik,+1819-744-7669,http://www.deneigementmirik.com/,,,Chelsea,2.2,25,Snow removal service,,,,C,,published business contact,new,
On-Time Snow Removal,+1613-796-7364,,,,Carlington,3,11,Snow removal service,,,,C,,published business contact,new,
Jara Farms & Snow Removal,+1613-836-0801,,,,Stittsville,2.6,12,Snow removal service,,,,C,,published business contact,new,
Déneigement Lafrance,+1819-319-3911,,,,Hull,2.9,9,Snow removal service,,,,C,,published business contact,new,
Cameron Curtis Snow Removal,+1613-826-2712,http://camcurtis.com/,,,Manotick,2.4,10,Snow removal service,,,,C,,published business contact,new,
Entretien A.S. Outaouais Inc.,+1819-918-6502,,,,Gatineau,3,8,Snow removal service,,,,C,,published business contact,new,
Terrassement Déneigement Outaouais,,,,,Gatineau,2.6,5,Garbage collection service,,,,C,,published business contact,new,
JC Levesque Trucking Ltd - Snow Removal,+1613-868-7675,,,,Navan,2.3,3,Snow removal service,,,,C,,published business contact,new,
Dig We Do,+1613-277-8299,,,,,2.3,3,Snow removal service,,,,C,,published business contact,new,
Greenboro Landscaping & Snow Removal Ltd,+1613-822-1194,,,,Greely,1,1,Landscaper,,,,C,,published business contact,new,
Snowbusters Property Maintenance Ltd,+1613-795-9107,,,,Cumberland,1,1,Snow removal service,,,,C,,published business contact,new,
Raz Snow Removal,+1613-741-7766,,,,Gloucester,,,Snow removal service,,,,C,,published business contact,new,
MML Property Services Inc - Snow removal | lawn cutting | window cleaning | Junk removal in Nepean,+1613-240-2058,,,,Nepean,,,Cleaning service,,,,C,,published business contact,new,
Asj Landscaping And Snow Removal,,,,,Kanata,,,Landscaper,,,,C,,published business contact,new,
